Item Type;Publication Year;Author;Title;Publication Title;Pages;Num Pages;Volume;Series;Place;Extra;Notes;Correspondance Sudoc;Correspondance BnF
book;1900;Ibsen, Henrik;"canard sauvage ; Rosmersholm";;;326 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06;['http://www.sudoc.fr/101114516'];['http://catalogue.bnf.fr/ark:/12148/cb387628149']
book;1900;Johannessen, Axel;dilatation hypertrophique du gros intestin chez l'infant;;;23 s. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1900;"Ibsen, Henrik; Prozor, M.";Quand nous nous réveillerons d'entre les morts : épilogue en trois actes;La Revue de Paris;S. [5]-53;;Année 7, no 1(1. Jan. 1900);;;Place: Paris;;['http://www.sudoc.fr/16820052X'];Pas de notice trouvée dans le catalogue de la BnF
book;1900;"Ibsen, Henrik; Prozor, M.";Quand nous nous réveillerons d'entre les morts : drame en trois actes;;;220 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2013-01-09;['http://www.sudoc.fr/16820052X'];Pas de notice trouvée dans le catalogue de la BnF
book;1900;"Parrot, A.; Det Norske misjonsselskap";Petite histoire élémentaire de Madagascar et de ses relations avec la France;;;107 s.;;;Paris;;Forfatterens navn i forordet;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1901;Johansen, Hjalmar;Avec Nansen au Pôle nord;;;255 s.;;;Geneve;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2011-10-08;['http://www.sudoc.fr/110801725'];Pas de notice trouvée dans le catalogue de la BnF
book;1901;Bjørnson, Bjørnstjerne;Laboremus;;;213 s.;;;Paris;;;['http://www.sudoc.fr/102690669', 'http://www.sudoc.fr/102691622', 'http://www.sudoc.fr/063098725'];['http://catalogue.bnf.fr/ark:/12148/cb30108899k', 'http://catalogue.bnf.fr/ark:/12148/cb30108900z', 'http://catalogue.bnf.fr/ark:/12148/cb387042842']
book;1901;"Bjørnson, Bjørnstjerne; Monnier, Auguste; Littmanson, Leopold";Au-delà des forces : première et deuxième partie;;;363 s.;;Bibliothèque cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1901;"Bjørnson, Bjørnstjerne; Clemenceau, Georges";De l'intellectualité française : a Monsieur Georges Clemenceau;La Revue blanche;S. [259]-260;;T. 27(1901) = No.193;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1901;Hamsun, Knut;Pan;La Revue blanche;S. [261]-276;;T. 27(1901) = No.193;;;;Utgitt som føljetong. Fortsettelse av 15. mars, 1. og 15. april, 1. og 15. mai og 1. juni 1901. Avsluttes i dette nr.;['http://www.sudoc.fr/102670757'];['http://catalogue.bnf.fr/ark:/12148/cb34944734h']
journalArticle;1901;Bjørnson, Bjørnstjerne;M. Larroumet et l'Europe;La Revue blanche;;;T. 25(1901) = No.190;;;;"Offentliggjort samtidig i ""Verdens gang"", nektet opptatt i ""Le Temps"" som svar på Larroumets artikkel 22/4";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1901;"Hamsun, Knut; Rémusat, Martine";Pan : roman;;;305 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1901;"Bjørnson, Bjørnstjerne; Lugné-Poë, Aurélien Marie";"Au-dessus des forces humaines : Drame en six actes, en deux parties ; Ire Partie, deux actes ; IIe partie, quatre actes ; Traduit par M. Lugné-Poë avec l'autorisation et l'approbation de l`àuteur";;;388 s.;;;Paris;;;['http://www.sudoc.fr/253982456', 'http://www.sudoc.fr/219441049', 'http://www.sudoc.fr/181093081', 'http://www.sudoc.fr/267150474', 'http://www.sudoc.fr/084111569', 'http://www.sudoc.fr/125414528', 'http://www.sudoc.fr/25394838X', 'http://www.sudoc.fr/219788855', 'http://www.sudoc.fr/260288497', 'http://www.sudoc.fr/152525319', 'http://www.sudoc.fr/196722683', 'http://www.sudoc.fr/024069450', 'http://www.sudoc.fr/106177559', 'http://www.sudoc.fr/158698932', 'http://www.sudoc.fr/149348487', 'http://www.sudoc.fr/138158800', 'http://www.sudoc.fr/13389049X', 'http://www.sudoc.fr/042654084', 'http://www.sudoc.fr/065183290', 'http://www.sudoc.fr/099890763', 'http://www.sudoc.fr/224279564', 'http://www.sudoc.fr/186909217', 'http://www.sudoc.fr/114247536', 'http://www.sudoc.fr/221798250', 'http://www.sudoc.fr/221798234', 'http://www.sudoc.fr/101309163', 'http://www.sudoc.fr/142919586', 'http://www.sudoc.fr/204727057', 'http://www.sudoc.fr/099687984', 'http://www.sudoc.fr/201297108', 'http://www.sudoc.fr/132231107', 'http://www.sudoc.fr/07606736X', 'http://www.sudoc.fr/254309186', 'http://www.sudoc.fr/236095595', 'http://www.sudoc.fr/265915848', 'http://www.sudoc.fr/120684519', 'http://www.sudoc.fr/223705217', 'http://www.sudoc.fr/132304120', 'http://www.sudoc.fr/192192884', 'http://www.sudoc.fr/180891413', 'http://www.sudoc.fr/278372929', 'http://www.sudoc.fr/025807188', 'http://www.sudoc.fr/102293635', 'http://www.sudoc.fr/223328332', 'http://www.sudoc.fr/13106343X', 'http://www.sudoc.fr/085031410', 'http://www.sudoc.fr/045281092', 'http://www.sudoc.fr/059890940', 'http://www.sudoc.fr/198546858', 'http://www.sudoc.fr/265837030', 'http://www.sudoc.fr/265836115', 'http://www.sudoc.fr/117665908', 'http://www.sudoc.fr/254667775', 'http://www.sudoc.fr/254915051', 'http://www.sudoc.fr/255000863', 'http://www.sudoc.fr/233087346', 'http://www.sudoc.fr/084461039', 'http://www.sudoc.fr/227537734', 'http://www.sudoc.fr/221510168', 'http://www.sudoc.fr/110213769', 'http://www.sudoc.fr/030436885', 'http://www.sudoc.fr/253482925', 'http://www.sudoc.fr/082233470', 'http://www.sudoc.fr/096657162', 'http://www.sudoc.fr/255146922', 'http://www.sudoc.fr/197656838', 'http://www.sudoc.fr/200725645', 'http://www.sudoc.fr/186101902', 'http://www.sudoc.fr/244184623', 'http://www.sudoc.fr/265448026', 'http://www.sudoc.fr/04909307X', 'http://www.sudoc.fr/107481936', 'http://www.sudoc.fr/274222523', 'http://www.sudoc.fr/163121796', 'http://www.sudoc.fr/224298097', 'http://www.sudoc.fr/070519129', 'http://www.sudoc.fr/121128881', 'http://www.sudoc.fr/260703249', 'http://www.sudoc.fr/125914695', 'http://www.sudoc.fr/02692630X', 'http://www.sudoc.fr/188867473', 'http://www.sudoc.fr/184664373', 'http://www.sudoc.fr/05666852X', 'http://www.sudoc.fr/135822211', 'http://www.sudoc.fr/01483314X', 'http://www.sudoc.fr/263161366', 'http://www.sudoc.fr/158661125', 'http://www.sudoc.fr/101694946', 'http://www.sudoc.fr/188616489', 'http://www.sudoc.fr/129197084', 'http://www.sudoc.fr/047249692', 'http://www.sudoc.fr/139109269', 'http://www.sudoc.fr/044401981', 'http://www.sudoc.fr/106283626', 'http://www.sudoc.fr/254217575', 'http://www.sudoc.fr/254132677', 'http://www.sudoc.fr/15763521X', 'http://www.sudoc.fr/059193964', 'http://www.sudoc.fr/021981841', 'http://www.sudoc.fr/264634691'];Pas de notice trouvée dans le catalogue de la BnF
book;1901;"Bjørnson, Bjørnstjerne; Rémusat, Martine";Laboremus;;;219 s. 18 cm;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2021-01-23;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30108899k', 'http://catalogue.bnf.fr/ark:/12148/cb30108900z', 'http://catalogue.bnf.fr/ark:/12148/cb387042842']
book;1901;Bjørnson, Bjørnstjerne;"roi  : drame en quatre actes ; Le journaliste : drame en quatre actes";;;301 s.;;Bibliotheque Cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb359589122']
journalArticle;1901;Bjørnson, Bjørnstjerne;châtiment;Carmen pro invictis;Side 53;;;;;Place: N. Veenstra;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Trigant-Geneste, Jacques";"prétendants a la couronne ; Les guerriers a Helgeland";;;326 s.;;Bibliothèque cosmopolite;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb306325702']
book;1902;"Ibsen, Henrik; Colleville, Ludovic; Zepelin, F. de";Catilina : drame en trois actes et en vers;;;219 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-03-17;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Casanove, Ch. de Bigault de";Empereur et Galiléen;;;XXIV, 360 s.;;Bibliothèque cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30632566t']
book;1902;"Ibsen, Henrik; Colleville, Ludovic, comte de; Zepelin, F. de";Poésies complètes;;;XII, 226 s., pl. port.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-05-21; ""Précédées d'une étude par les traducteurs et d'une notice biographique par G. Brandes"" - Tittelbladet";['http://www.sudoc.fr/046250751'];['http://catalogue.bnf.fr/ark:/12148/cb30632535j', 'http://catalogue.bnf.fr/ark:/12148/cb30632536w', 'http://catalogue.bnf.fr/ark:/12148/cb416558619']
journalArticle;1902;Ibsen, Henrik;Catilina : drame en trois actes et en vers;La Plume;S. [945]-971, 1013-1045, 1086-1121;;Année 14, no 320, 321, 322(15. août, 1. sept., 15. sept. 1902);;;Place: Paris;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Bertrand, Pierre; Nevers, Edmond de";"soutiens de la société ; L'union des jeunes";;;309 s.;;Bibliothéque cosmopolite;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-12;['http://www.sudoc.fr/016822315'];['http://catalogue.bnf.fr/ark:/12148/cb306325853', 'http://catalogue.bnf.fr/ark:/12148/cb41891852j']
book;1902;"Ibsen, Henrik; Zepelin, F. de; Colleville, Ludovic, comte de";Madame Inger à Ostraat : pièce historique en cinq actes;;;252 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2014-12-12;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;"Ibsen, Henrik; Zepelin, F. de; Colleville, Ludovic";"fête à Solhaug ; L'ennemi du peuple  : Pièces en vers et en prose";;;248 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2015-01-21;['http://www.sudoc.fr/097392286', 'http://www.sudoc.fr/066352185', 'http://www.sudoc.fr/048453498', 'http://www.sudoc.fr/08716132X'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1903;Bjørnson, Bjørnstjerne;union des peuples germaniques;L'Européen;ca. 1/4 sp.;;1903 nr. 73, 25/4;;;;"Brev til en av redaktørene, Arne Hammer; Også på norsk i ""Politiken"" 28/4";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;Malm, O.;lutte actuelle contre la tuberculose bovine;;;40 s.;;;Kristiania;;;['http://www.sudoc.fr/135220920'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1903;Bjørnson, Bjørnstjerne;solidarité des peuples;L'Européen;ca. 1 sp.;;1903 nr. 87, 1/8;;;;"Også på norsk (""Folkenes Samhørighed"") i ""Aftenposten"" 1/8; Om hvordan utenlandske lån til Russland opprettholder uholdbare tilstander der";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;Bjørnson, Bjørnstjerne;intellectualite francaise;;;S. 47-48;;;Paris;;Artikkel fra: Pages libres, Paris 1903 no.106;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;"Ibsen, Henrik; Colleville, Ludovic, comte de; Zepelin, Fritz de";"Ölaf Liljekrans ; Le tumulus : drames historiques en vers et en prose";;;253 s.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-09-25; Originaltitler: Olaf Liljekrans ; Kjæmpehøien";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;Ibsen, Henrik;comedie de l'amour  : pièce en trois actes;;;;;;Paris;;;['http://www.sudoc.fr/101114656', 'http://www.sudoc.fr/066352193', 'http://www.sudoc.fr/052959430', 'http://www.sudoc.fr/08716132X', 'http://www.sudoc.fr/048453498', 'http://www.sudoc.fr/097392286', 'http://www.sudoc.fr/066352185', 'http://www.sudoc.fr/065411846', 'http://www.sudoc.fr/048453382', 'http://www.sudoc.fr/066352215', 'http://www.sudoc.fr/047499389'];Pas de notice trouvée dans le catalogue de la BnF
book;1903;"Ibsen, Henrik; Darzens, Rodolphe";revenants  : drame familial en trois actes;;;VIII, 140 s. faks.;;A la méme librairie, Littérature scandinave;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1903;Bjørnson, Bjørnstjerne;petits oiseaux chanteurs  : a propos d'un incident a la chambre française;L'Européen;ca. 1 1/2 sp.;;1903 nr. 104, 28/11;;;;"Også i oversettelse i ""Aftenposten"" 1/12: De smaa Sangfugle : Folkenes Solidaritet; Over tittelen: Encore une fois la solidarité des peuples";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1903;"Ibsen, Henrik; Prozor, Comte; Prozor, M.";Brand : poème dramatique en 5 actes;;;XXIII, 278 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1904;"Ibsen, Henrik; Prozor, M.";"revenants ; Maison de poupee";;;XXVII, 279 s.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06; Originaltitler: Gengangere ; Et dukkehjem";['http://www.sudoc.fr/122769066'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;Quelques mots sur l'Italie;L'Européen;ca. 4 sp.;;1904 nr. 129, 21/5;;;;"I anledning Hans E. Kincks bok ""Italienere""; Også på norsk (Lidt om Italien) i ""Aftenposten"" 22/5";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;[La France est-elle décadente?];L'Européen;[5] linjer;;1904 nr. 121, 26/3;;;;"Bjørnsons og andres svar gjengis på norsk (Er Frankrige i Forfald?) i ""Verdens Gang"" 30/3; Svar på enquête";['http://www.sudoc.fr/267243944', 'http://www.sudoc.fr/268744106', 'http://www.sudoc.fr/252247124', 'http://www.sudoc.fr/228882311', 'http://www.sudoc.fr/174479751', 'http://www.sudoc.fr/236412116', 'http://www.sudoc.fr/256998507', 'http://www.sudoc.fr/100035515', 'http://www.sudoc.fr/236848321', 'http://www.sudoc.fr/232850127', 'http://www.sudoc.fr/25698574X', 'http://www.sudoc.fr/159408768', 'http://www.sudoc.fr/23459456X', 'http://www.sudoc.fr/234757310', 'http://www.sudoc.fr/14269875X', 'http://www.sudoc.fr/236238353', 'http://www.sudoc.fr/232948690', 'http://www.sudoc.fr/121723798', 'http://www.sudoc.fr/235817090', 'http://www.sudoc.fr/189374136', 'http://www.sudoc.fr/221808566', 'http://www.sudoc.fr/25026093X', 'http://www.sudoc.fr/257869093', 'http://www.sudoc.fr/145580075', 'http://www.sudoc.fr/234532866', 'http://www.sudoc.fr/234494891', 'http://www.sudoc.fr/249988747', 'http://www.sudoc.fr/248490443', 'http://www.sudoc.fr/234574356', 'http://www.sudoc.fr/22134831X', 'http://www.sudoc.fr/176614109', 'http://www.sudoc.fr/095627693', 'http://www.sudoc.fr/138002584', 'http://www.sudoc.fr/267806655', 'http://www.sudoc.fr/234710098', 'http://www.sudoc.fr/148624081', 'http://www.sudoc.fr/020006470', 'http://www.sudoc.fr/139248226', 'http://www.sudoc.fr/26785434X', 'http://www.sudoc.fr/230141684', 'http://www.sudoc.fr/255396635', 'http://www.sudoc.fr/241784433', 'http://www.sudoc.fr/099943565', 'http://www.sudoc.fr/199632200', 'http://www.sudoc.fr/059438657', 'http://www.sudoc.fr/151860076', 'http://www.sudoc.fr/232946701', 'http://www.sudoc.fr/121786870', 'http://www.sudoc.fr/23279992X', 'http://www.sudoc.fr/204522986', 'http://www.sudoc.fr/257437770', 'http://www.sudoc.fr/232965927', 'http://www.sudoc.fr/051764431', 'http://www.sudoc.fr/132552345', 'http://www.sudoc.fr/248538918', 'http://www.sudoc.fr/171027523', 'http://www.sudoc.fr/088682080', 'http://www.sudoc.fr/025777602', 'http://www.sudoc.fr/229549144', 'http://www.sudoc.fr/272896675', 'http://www.sudoc.fr/230072321', 'http://www.sudoc.fr/161923569', 'http://www.sudoc.fr/139177361', 'http://www.sudoc.fr/171033035', 'http://www.sudoc.fr/229581420', 'http://www.sudoc.fr/15297119X', 'http://www.sudoc.fr/084979305', 'http://www.sudoc.fr/099998106', 'http://www.sudoc.fr/004023587', 'http://www.sudoc.fr/27700800X', 'http://www.sudoc.fr/257323961', 'http://www.sudoc.fr/164892648', 'http://www.sudoc.fr/271441879', 'http://www.sudoc.fr/248476521', 'http://www.sudoc.fr/244320276', 'http://www.sudoc.fr/176647163', 'http://www.sudoc.fr/04539542X', 'http://www.sudoc.fr/023903465', 'http://www.sudoc.fr/23295089X', 'http://www.sudoc.fr/204517001', 'http://www.sudoc.fr/237888203', 'http://www.sudoc.fr/061044164', 'http://www.sudoc.fr/234499087', 'http://www.sudoc.fr/157235130', 'http://www.sudoc.fr/172952972', 'http://www.sudoc.fr/244204861', 'http://www.sudoc.fr/046144668', 'http://www.sudoc.fr/219441049', 'http://www.sudoc.fr/236971409', 'http://www.sudoc.fr/097978531', 'http://www.sudoc.fr/248395807', 'http://www.sudoc.fr/08515556X', 'http://www.sudoc.fr/15532036X', 'http://www.sudoc.fr/167236571', 'http://www.sudoc.fr/141144335', 'http://www.sudoc.fr/104578408', 'http://www.sudoc.fr/234707232', 'http://www.sudoc.fr/148319874', 'http://www.sudoc.fr/155293419', 'http://www.sudoc.fr/154425915'];Pas de notice trouvée dans le catalogue de la BnF
book;1904;Bjørnson, Bjørnstjerne;"gant  : comedie en trois actes ; Le nouveau systeme : piece en cinq actes";;;351 s.;;Bibliotheque cosmopolite;Paris;;;['http://www.sudoc.fr/025788868'];['http://catalogue.bnf.fr/ark:/12148/cb31821279c']
journalArticle;1904;"Ibsen, Henrik; Bjørnson, Bjørnstjerne; Rémusat, Martine";Lettres de Henrik Ibsen a Bjørnstjerne Bjørnson;La Revue;S. 1-22;;Année 15, vol. 52, no. 17 (1904);;;Place: Paris;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;Le moment psychologique : [la guerre entre la Russie et le Japon];Le Courrier européen;2 sp.;;1904, 23/12;;;;"Også på norsk (Det psykologiske Moment) i ""Verdens Gang"" 23/12";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;Bjoernson et le prix Nobel de la paix;Le Courrier européen;1 sp.;;1904, 16/12;;;;"Brevet også på tysk (Die Nobel-Preise) i ""Berliner Tageblatt"" 11/12 og på norsk (Fredspræmien) i ""Aftenposten"" 13/12; Gjengir Bjørnsons brev til Stortingets Nobel-komité, hvor han ønsker at Bertha von Suttner skal få prisen";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;hypocrisie de la paix;Le Courrier européen;4 1/2 sp.;;1904, 18/11;;;;"Også på norsk (Fredshykleriet) i ""Aftenposten"" 20/11 og på tysk (Friedensheuchelei) i ""Berliner Tageblatt"" 21/11; Om Russland og krigsfare";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1904;Wagner, Felix;La saga de Fridthjof le fort;;;138 s.;;;Louvain;;;['http://www.sudoc.fr/062785494'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1904;Bjørnson, Bjørnstjerne;marche en avant de la France;L'Européen;ca. 2 sp.;;1904 nr. 117, 27/2;;;;"Også på norsk (""Frankrige foran"") i Verdens Gang 27/2; Om religion i Frankrike og USA";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1905;Bjørnson, Bjørnstjerne;Alliance pangermanique  : Europe du nord et Nord-Amérique : comment le divorce de la Norvège et de la Suède peut avoir pour conséquence une coalition formidable, celle de toutes les nations germaniques du monde;Le Figaro;ca. 1 sp.;;1905, 28/7;;;;"Kfr. referat av artikkelen i ""Norske Intelligenssedler"" 28/7";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1905;Selmer, Ågot Gjems;famille dans le Nord;;;121 s.;;;Paris;;"""Extrait du Petit bulletin pour nos enfants (union pour l'Action morale)"" - S. [2]; Over tittelen: Pour nos enfants";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1905;"Ibsen, Henrik; Prozor, M.";ennemi du peuple  : drame en cinq actes;;;LIX, 241 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1905;Bojer, Johan;puissance du mensonge  : roman;;;358 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1905;Bjørnson, Bjørnstjerne;emprunts consentis aux belligérants sont contrebande de guerre;Le Courrier européen;1 1/3 sp.;;1905, 10/2;;;;"I anledning Frankrikes lån til Russland under den Russisk-japanske krig; Også på norsk (Pengelaan til Krigførende er Krigskontrabande) i ""Aftenposten"" 9/2 og ""Politiken"" 10/2";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1905;Bjørnson, Bjørnstjerne;France et Russie : [le crédit international et la guerre entre la Russie et le Japon];Le Courrier européen;1 1/2 sp.;;1905, 13/1;;;;"Også på norsk (Frankrige og Rusland) i ""Aftenposten"" 13/1";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1905;"Ibsen, Henrik; Chennevière, Ad; Johansen, C.";"dame de la mer ; suivie de Un ennemi du peuple";;;XI, 269 s.;;Bibliotèque cosmopolite;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-09-24;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30632548w']
book;1905;Nansen, Fridtjof;La Norvege et l'Union avec la Suède;;;98 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2009-09-08;['http://www.sudoc.fr/087124947', 'http://www.sudoc.fr/062185489', 'http://www.sudoc.fr/062185470'];['http://catalogue.bnf.fr/ark:/12148/cb310030754']
journalArticle;1905;Bjørnson, Bjørnstjerne;peuples scandinavnes;Le Courrier européen;2 1/3 sp.;;1905, 14/4;;;;"Datert: Rome, avril 1905; Også i ""The Times"" ca. 14/4 og ""The Times weekly edition"" suppl. 21/4 (The Swedish-Norwegian conflict) og i ""Verdens Gang"" 17/4 (Bjørnson i ""Times""); Om den svensk-norske konflikt: fra et europeisk synspunkt har de tre nordiske land én felles trussel - Russland, og trenger et forsvarsforbund. Dette i motsetning til Fridtjof Nansens og Sven Hedins syn";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1905;"Drolsum, A.C. (Axel Charlot); Société nouvelle de librairie et d'édition";Norvège  : état souverain;;;128 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1906;Lie, Jonas;Jaeger  : roman;;;VII, 328 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30817225j', 'http://catalogue.bnf.fr/ark:/12148/cb309367676']
book;1906;"David, Adolphe; Stave, Oscar";Étude sur la législation minière en Norwège;;;272 s., 1 bl.;;;Paris;;;['http://www.sudoc.fr/096309962'];Pas de notice trouvée dans le catalogue de la BnF
book;1906;Woxen, Frédéric;Rapport sur le dévelopment du droit pénal et du régime pénitentiaire en Norvége, 1900-1905;;;38 s.;;;Bruxelles?;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1906;Bjørnson, Bjørnstjerne;[Russie et la France];Le Courrier européen;S. 532, [6] linjer;;1906, 7/9;;;;;['http://www.sudoc.fr/102690286'];Pas de notice trouvée dans le catalogue de la BnF
