Item Type;Publication Year;Author;Title;Publication Title;Pages;Num Pages;Volume;Series;Place;Extra;Notes;Correspondance Sudoc;Correspondance BnF
book;1906;"Ibsen, Henrik; Rémusat, Martine";Lettres de Henrik Ibsen a ses amis;;;292 s.;;;Paris;;;['http://www.sudoc.fr/046239995'];['http://catalogue.bnf.fr/ark:/12148/cb30632529m']
book;1906;"Ibsen, Henrik; Prozor, M.";Hedda Gabler : drame en quatre actes;;;261 s.;;;Paris;;;['http://www.sudoc.fr/065411862'];Pas de notice trouvée dans le catalogue de la BnF
book;1906;"Ibsen, Henrik; Savine, Albert";maison de poupée  : drame en trois actes;;;163 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-05-12;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1906;"Ibsen, Henrik; Prozor, M.; Prozor, Comte";"revenants ; Maison de poupée";;;XXVII, 279 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-18;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1906;Bjørnson, Bjørnstjerne;ruthènes;Le Courrier européen;ca. 2 sp.;;1906, 26/10;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1907;Bjørnson, Bjørnstjerne;témoignage à propos des Ruthènes;L'Européen;ca. 1/4 sp.;;1907 nr. 190, 11/7;;;;Angrep på Russlands innenriksminister V.K. Plehve;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1907;"Ibsen, Henrik; Casanove, Ch. de Bigault de";Poésies;;;303 s.;;Collection d'auteurs étrangers;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-18; Smusstittel: Poésies de Henrik Ibsen";['http://www.sudoc.fr/143286870', 'http://www.sudoc.fr/078259088', 'http://www.sudoc.fr/016842111'];['http://catalogue.bnf.fr/ark:/12148/cb306325377']
book;1907;"Bojer, Johan; Cros, Guy-Ch";Maternité : roman;;;309 s.;;;Paris;;;['http://www.sudoc.fr/001769405'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1907;Bjørnson, Bjørnstjerne;[Linda Murri];Le Courrier européen;S. 227, ca. 1 sp.;;1907, 12/4;;;;;['http://www.sudoc.fr/051549794'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1907;"Ibsen, Henrik; Lange, Wilhelm";atische Werke;Dramatische Werke;158, 160, 132 s., pl. ill.;;2;;;Place: Berlin-Steglitz;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-12; Originaltitler: En folkefiende ; Vildanden ; Rosmersholm";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1907;"Ibsen, Henrik; Prozor, Comte; Prozor, M.";Brand : poème dramatique en 5 actes;;;XXIII, 278 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1907;Bjørnson, Bjørnstjerne;oppression polonaise;Le Courrier européen;S. [1]-2, 210-211, ca. 5 1/2 sp.;;1907 No. 14, 5/4;;;;"Også på tysk i ""Ukrainische Rundschau"" nr. 4 og ""Die Zeit""4/4 (Die Polen als Unterdrucker) og i ""Samtiden"" 1907 (Polakkene som undertrykkere)";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1907;Bjørnson, Bjørnstjerne;Linda Murri;Le Courrier européen;S. [1]-2, 66-67, ca. 5 1/2 sp.;;1907, 1/2;;;;Også på engelsk i Tribune, London, 1/2;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1907;Norge;Affaires de Norvège : documents officiels : concernant la dissolution de l'union entre la Norvège et la Suède et la constitution du Royaume de Norvège (1903-1905);;;73 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2015-11-05;['http://www.sudoc.fr/103676597'];Pas de notice trouvée dans le catalogue de la BnF
book;1908;"Ibsen, Henrik; Prozor, M.; Prozor, Comte";"revenants ; Maison de poupée";;;XXVII, 279 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1908;"Ibsen, Henrik; Prozor, M.; prozor, Comte";"revenants ; Maison de poupée";;;XXVII, 279 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-06;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1908;"Ibsen, Henrik; Prozor, Comte; Prozor, M.";dame de la mer  : pièce en 5 actes;;;XVII, 227 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb306325497']
journalArticle;1908;Bjørnson, Bjørnstjerne;oppression magyare;Le Courrier européen;S. [121]-124, ca. 3 1/2 sp.;;1908, 25/2;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1908;Birkeland, Richard;Intégrales d'un système d'équations différentielles ordinaires du premier ordre, dans le voisinage des points où les coefficients différentiels sont indéterminés;;;60 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1908;Blix, Ragnvald;voile tombe  : caricatures;;;24 bl. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1908;Bjørnson, Bjørnstjerne;lettre de Björnstjerne Björnson;Le Courrier européen;ca. 1/3 sp.;;1908, april;;;;Bjørnson takker redaktøren for en artikkel om ønskeligheten av allmenn stemmerett i Ungarn;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1908;Bjørnson, Bjørnstjerne;Alfred Dreyfus, le juif;Le Courrier européen;S. [177]-180, ca. 3 1/2 sp.;;1908, mars;;;;"Også i ""Morgenbladet"" (Alfred Dreyfus, jøden) 25/3, ""Politiken"" 25/3, og i ""März"" (Alfred Dreyfus, der Jude) 1/4";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1909;Bjørnson, Bjørnstjerne;paix et les pacifistes;Le Courrier européen;S. [249]-254;;1909, nr. 6;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1909;"Ibsen, Henrik; Prozor, M.";Hedda Gabler : drame en quatre actes;;;;;;Paris;;;['http://www.sudoc.fr/087062356'];Pas de notice trouvée dans le catalogue de la BnF
book;1909;Bjørnson, Bjørnstjerne;chemin du bonheur;;;221 s. ill.;;Collection des grands romans littéraires;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb31821274n']
journalArticle;1910;"Bjørnson, Bjørnstjerne; Coussange, Jacques de";Magnhild;La Revue;S. [78]-97;;23(1910)no 13;;;;Fortsetter i nr?;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1910;Tschudi, Clara;mère de Napoléon (Letizia-Ramolino Buonaparte)  : d'après les mémoires et les correspondances du temps et des documents inédits tirés des archives de l'Etat;;;XIV, 300 s. ill.;;;Paris;;;['http://www.sudoc.fr/106030442'];Pas de notice trouvée dans le catalogue de la BnF
book;1910;Storm, Joh. (Johan);Französische Sprechübungen : eine systematische Darstellung der französischen Umgangssprache des täglichen Lebens, nach der Grammatik geordnet : Mittlere Stufe = Dialogues français;;;236 s.;;;Bielefeld;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1910;"Bjørnson, Bjørnstjerne; Coussange, Jacques de";Magnhild : roman;;;Ulik pag.;;;Paris;;Særtrykk av: La Revue;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1910;"Ibsen, Henrik; Colleville, Ludovic, comte de; Zepelin, Fritz de";"revenants  : drame de famille en trois actes ; L'ennemi du peuple : drame en cinq actes";;;74 s.;;In extenso, Ser. 2;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1910;"Bojer, Johan; La Chesnais, P.G.";Sous le ciel vide : roman;;;346 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb318367090']
book;1911;Bjørnson, Bjørnstjerne;Au-dessus des forces humaines : Drame en six actes, en deux parties;;;388 s.;;;Paris;;;['http://www.sudoc.fr/102690480'];Pas de notice trouvée dans le catalogue de la BnF
book;1911;Lie, Jonas;galérien  : roman;;;78 s.;;"Collection ""In Extenso""";Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1911;"Bjørnson, Bjørnstjerne; Voirol, Sébastien";ames en peine  : roman;;;79 s.;;In extenso;Paris;;;['http://www.sudoc.fr/16779955X'];['http://catalogue.bnf.fr/ark:/12148/cb31599750w']
book;1911;Bjørnson, Bjørnstjerne;Poemes et chansons;;;S. 85-93;;;Paris;;"Artikkel fra: L'amitie de France : journal de philosophie d'art et de politique,&nbsp;&nbsp;1911 - no. 2";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1912;"Norge; Depuichault, René";"Loi norvégienne du 19 juillet 1910 sur les sociétés anonymes et les sociétés en commandite par actions ; suivi de la Loi du 6 août 1897 sur les obligations au porteur";;;93 s.;;Collection de codes étrangers;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1912;"Bjørnson, Bjørnstjerne; Voirol, Sébastien";Magnhild;;;215 s.;;Nouvelle Bibliothèque de Variétés Littéraires;Paris;;;['http://www.sudoc.fr/09418495X'];Pas de notice trouvée dans le catalogue de la BnF
book;1912;"Bojer, Johan; Cros, Guy-Ch";puissance du mensonge  : roman;;;358 sider 19 cm;;;Paris;;;['http://www.sudoc.fr/066137128'];Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1913;"Resvoll-Holmsen, Hanna; Albert; Richard, Jules; Isachsen, Gunnar";Observations botaniques;Résultats des campagnes scientifiques. 40-44, Exploration du Nord-Ouest du Spitsberg;80 s., pl. ill.;;44:05:00;;;Place: Monaco;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2019-10-14;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1913;"Bjørnson, Bjørnstjerne; Sautreau, Georges; Sautreau, Dagny Bjørnson";Quelques poèmes & chansons;;;92 s.;;;Paris;;;['http://www.sudoc.fr/204522986', 'http://www.sudoc.fr/052286444', 'http://www.sudoc.fr/010871594', 'http://www.sudoc.fr/132684004', 'http://www.sudoc.fr/053582446', 'http://www.sudoc.fr/067831389', 'http://www.sudoc.fr/108618315', 'http://www.sudoc.fr/008581266', 'http://www.sudoc.fr/001439421', 'http://www.sudoc.fr/005188741', 'http://www.sudoc.fr/060519711', 'http://www.sudoc.fr/278531202', 'http://www.sudoc.fr/105928720', 'http://www.sudoc.fr/010410570', 'http://www.sudoc.fr/066671760', 'http://www.sudoc.fr/18221205X', 'http://www.sudoc.fr/194698645', 'http://www.sudoc.fr/188776486', 'http://www.sudoc.fr/109080785', 'http://www.sudoc.fr/001869957', 'http://www.sudoc.fr/263484076', 'http://www.sudoc.fr/133313344', 'http://www.sudoc.fr/009128069', 'http://www.sudoc.fr/117764078', 'http://www.sudoc.fr/097779989', 'http://www.sudoc.fr/192856774', 'http://www.sudoc.fr/087015730', 'http://www.sudoc.fr/045595356', 'http://www.sudoc.fr/026299356', 'http://www.sudoc.fr/051223570', 'http://www.sudoc.fr/087176122', 'http://www.sudoc.fr/016916425', 'http://www.sudoc.fr/055677932', 'http://www.sudoc.fr/015693317', 'http://www.sudoc.fr/279385811', 'http://www.sudoc.fr/251724883', 'http://www.sudoc.fr/186871295', 'http://www.sudoc.fr/177743611', 'http://www.sudoc.fr/174516754', 'http://www.sudoc.fr/14257970X', 'http://www.sudoc.fr/10708726X', 'http://www.sudoc.fr/103154981', 'http://www.sudoc.fr/092124836', 'http://www.sudoc.fr/082286132', 'http://www.sudoc.fr/068283067', 'http://www.sudoc.fr/065208838', 'http://www.sudoc.fr/055607004', 'http://www.sudoc.fr/002790483', 'http://www.sudoc.fr/281355096', 'http://www.sudoc.fr/241317371', 'http://www.sudoc.fr/179194836', 'http://www.sudoc.fr/097776661', 'http://www.sudoc.fr/010742948', 'http://www.sudoc.fr/232895619', 'http://www.sudoc.fr/102690855', 'http://www.sudoc.fr/05607378X', 'http://www.sudoc.fr/011023724', 'http://www.sudoc.fr/236207881', 'http://www.sudoc.fr/115701249', 'http://www.sudoc.fr/05148031X', 'http://www.sudoc.fr/046588388', 'http://www.sudoc.fr/007373589', 'http://www.sudoc.fr/006730469', 'http://www.sudoc.fr/264794478', 'http://www.sudoc.fr/229959393', 'http://www.sudoc.fr/125144164', 'http://www.sudoc.fr/082890757', 'http://www.sudoc.fr/051480328', 'http://www.sudoc.fr/049859773', 'http://www.sudoc.fr/024355747', 'http://www.sudoc.fr/242641776', 'http://www.sudoc.fr/190418273', 'http://www.sudoc.fr/112019064', 'http://www.sudoc.fr/09948143X', 'http://www.sudoc.fr/071599509', 'http://www.sudoc.fr/063888165', 'http://www.sudoc.fr/256901716', 'http://www.sudoc.fr/064386341', 'http://www.sudoc.fr/008345457', 'http://www.sudoc.fr/199657726', 'http://www.sudoc.fr/112131417', 'http://www.sudoc.fr/056698992', 'http://www.sudoc.fr/017803926', 'http://www.sudoc.fr/066058031', 'http://www.sudoc.fr/010621938', 'http://www.sudoc.fr/006683355', 'http://www.sudoc.fr/284293466', 'http://www.sudoc.fr/186711948', 'http://www.sudoc.fr/179042157', 'http://www.sudoc.fr/139277250', 'http://www.sudoc.fr/078320348', 'http://www.sudoc.fr/144516691', 'http://www.sudoc.fr/18127034X', 'http://www.sudoc.fr/174695047', 'http://www.sudoc.fr/128076909', 'http://www.sudoc.fr/097967351', 'http://www.sudoc.fr/090573560', 'http://www.sudoc.fr/078321611', 'http://www.sudoc.fr/051348187', 'http://www.sudoc.fr/046877770'];Pas de notice trouvée dans le catalogue de la BnF
book;1913;Omsted, Arne;Chiens du Nord  : races et caractéristiques;;;61 s. ill.;;;Bruxelles;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1914;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;CXXXV, 379 s.;;T. 1;;;Place: Paris;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17; Inneholder også norsk litteratur- og samfunnshistorie omkring 1850 og biografisk stoff om Henrik Ibsen";['http://www.sudoc.fr/087177781', 'http://www.sudoc.fr/101463278'];['http://catalogue.bnf.fr/ark:/12148/cb30707941b']
book;1914;"Lange, Chr. L.; Inter-parliamentary Union";arbitrage obligatoire en 1913  : relevé des stipulations conventionelles en vigueur en 1913 instituant le recours obligatoire à l'arbitrage international;;;XXIV, 352 s.;;;Bruxelles;;Over tittelen: Union interparlamentaire;['http://www.sudoc.fr/127003916'];Pas de notice trouvée dans le catalogue de la BnF
book;1914;Bojer, Johan;nuits claires  : roman;;;370 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb31836702k']
book;1915;;"Pétition du comité hollandais ""La Fédération des peuples"" aux chefs d'états, membres des gouvernements, représentants nationaux et délégués à la Conférence de la paix";;;[4] s.;;;S.l.;;"Flere norsk navn blant undertegnerne, bl.a. Kr. Birkeland og Alf Torp; Spisstittel";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1915;"Staxrud, Arve; Hoel, Adolf";Résultats de l'expédition norvégienne au Spitsberg en 1914;;;1 unummererte side, side 278-279 kart;;;[Paris];;"Artikkel fra: La Géographie. Tome 30 (1914/15); Spisstittel";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1916;"Løken, Haakon; Fried, Alfred H.";Au seuil de la troisième année de guerre : considérations;;;79 s.;;;Berne;;Norsk medarbeider: Haakon Løken;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1916;"Ibsen, Henrik; Prozor, M.";Hedda Gabler : drame en quatre actes;;;261 s.;;;Paris;;;['http://www.sudoc.fr/073114065', 'http://www.sudoc.fr/055857299'];Pas de notice trouvée dans le catalogue de la BnF
book;1916;"Ibsen, Henrik; Rod, Édouard; Prozor, M.";"revenants ; Maison de poupée";;;XXVII, 279 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-09-28;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1916;Peters, Willi;Willi Peters : lieutenant norvégien, mort pour la France le 6 septembre 1916;;;24 s., pl. ill.;;;Paris;;Inneholder minnetaler og flere brev fra Willi Peters;['http://www.sudoc.fr/10077413X'];Pas de notice trouvée dans le catalogue de la BnF
book;1917;"Lange, Chr. L.; Central Organization for a Durable Peace";Expose des travaux de l'organisation;;;63 s.;;;La Haye;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1917;"Lange, Chr. L.; Central Organization for a Durable Peace";Développement de l'oeuvre de la Haye : organisation de la Conférence de la paix : rapport;;;80 s.;;;La Haye;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1918;Steen, T.-E;Négociations pour les prisonniers de guerre : notes et souvenirs;;;VIII, 124 s., 38 pl. ill.;;;Paris;;;['http://www.sudoc.fr/062607901'];['http://catalogue.bnf.fr/ark:/12148/cb32645186j', 'http://catalogue.bnf.fr/ark:/12148/cb365724483']
book;1919;"Holberg, Ludvig; Coussange, Jacques de";"Œuvres choisies / Ludvig Holberg ; traduction, introduction et notes par Jacques de Coussange";;;219 s.;;Les Cent chef-d'oeuvre étrangers;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2012-09-14;['http://www.sudoc.fr/149810369', 'http://www.sudoc.fr/100244963', 'http://www.sudoc.fr/065429486', 'http://www.sudoc.fr/265883245', 'http://www.sudoc.fr/131535153', 'http://www.sudoc.fr/266516130', 'http://www.sudoc.fr/157590151', 'http://www.sudoc.fr/056702361', 'http://www.sudoc.fr/003964132', 'http://www.sudoc.fr/003742768', 'http://www.sudoc.fr/053226291', 'http://www.sudoc.fr/045238863', 'http://www.sudoc.fr/001748580', 'http://www.sudoc.fr/056044313', 'http://www.sudoc.fr/133460444', 'http://www.sudoc.fr/080944000', 'http://www.sudoc.fr/200537083', 'http://www.sudoc.fr/200536966', 'http://www.sudoc.fr/200536567', 'http://www.sudoc.fr/171345053', 'http://www.sudoc.fr/050978942', 'http://www.sudoc.fr/100436773', 'http://www.sudoc.fr/050978993', 'http://www.sudoc.fr/050979019', 'http://www.sudoc.fr/177781270', 'http://www.sudoc.fr/177747390', 'http://www.sudoc.fr/012003980', 'http://www.sudoc.fr/130689114', 'http://www.sudoc.fr/052775097', 'http://www.sudoc.fr/25090957X', 'http://www.sudoc.fr/224035304', 'http://www.sudoc.fr/178884057', 'http://www.sudoc.fr/138437173', 'http://www.sudoc.fr/178883778', 'http://www.sudoc.fr/178884189', 'http://www.sudoc.fr/26851156X', 'http://www.sudoc.fr/059829117', 'http://www.sudoc.fr/052999246', 'http://www.sudoc.fr/056044135', 'http://www.sudoc.fr/056043988', 'http://www.sudoc.fr/056043880', 'http://www.sudoc.fr/003689999', 'http://www.sudoc.fr/060187670', 'http://www.sudoc.fr/054152569', 'http://www.sudoc.fr/110889789', 'http://www.sudoc.fr/235676322', 'http://www.sudoc.fr/125325754', 'http://www.sudoc.fr/000962988', 'http://www.sudoc.fr/078330084', 'http://www.sudoc.fr/011788275', 'http://www.sudoc.fr/011520922', 'http://www.sudoc.fr/049068032', 'http://www.sudoc.fr/112607160', 'http://www.sudoc.fr/012003867', 'http://www.sudoc.fr/012003247', 'http://www.sudoc.fr/138928789', 'http://www.sudoc.fr/249168529', 'http://www.sudoc.fr/068080832', 'http://www.sudoc.fr/277545919', 'http://www.sudoc.fr/257954422', 'http://www.sudoc.fr/22097442X', 'http://www.sudoc.fr/169557758', 'http://www.sudoc.fr/162204310', 'http://www.sudoc.fr/136909205', 'http://www.sudoc.fr/132025604', 'http://www.sudoc.fr/124030033', 'http://www.sudoc.fr/118204858', 'http://www.sudoc.fr/104919302', 'http://www.sudoc.fr/099953765', 'http://www.sudoc.fr/092171354', 'http://www.sudoc.fr/066449804', 'http://www.sudoc.fr/065435443', 'http://www.sudoc.fr/06543482X', 'http://www.sudoc.fr/061126292', 'http://www.sudoc.fr/060125764', 'http://www.sudoc.fr/060125756', 'http://www.sudoc.fr/060125748', 'http://www.sudoc.fr/06012573X', 'http://www.sudoc.fr/060125721', 'http://www.sudoc.fr/060125713', 'http://www.sudoc.fr/055930069', 'http://www.sudoc.fr/048301930', 'http://www.sudoc.fr/047826932', 'http://www.sudoc.fr/046901140', 'http://www.sudoc.fr/046866442', 'http://www.sudoc.fr/012845310', 'http://www.sudoc.fr/012003271', 'http://www.sudoc.fr/011195339', 'http://www.sudoc.fr/010712666', 'http://www.sudoc.fr/008024111', 'http://www.sudoc.fr/007333846', 'http://www.sudoc.fr/006974481', 'http://www.sudoc.fr/004814908', 'http://www.sudoc.fr/002108704', 'http://www.sudoc.fr/002069709', 'http://www.sudoc.fr/002069687', 'http://www.sudoc.fr/048979260', 'http://www.sudoc.fr/047438630', 'http://www.sudoc.fr/047428759', 'http://www.sudoc.fr/001756893'];Pas de notice trouvée dans le catalogue de la BnF
book;1920;"Bojer, Johan; La Chesnais, P.G.";Grande faim  : roman;;;280 s.;;;Paris;;;['http://www.sudoc.fr/001511297'];['http://catalogue.bnf.fr/ark:/12148/cb318366954']
book;1920;"Ibsen, Henrik; Prozor, Comte; Prozor, M.";Brand : poème dramatique en 5 actes;;;XXIII, 278 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1920;"Bødtker, A. Trampe; Høst, Sigurd; Mantzius, Aage";Franske Læsestykker for Gymnasiet;;;258 s.;;;Kjøbenhavn;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1920;Hamsun, Knut;Victoria;;;227 s.;;Les prosateurs étrangers modernes;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-26;['http://www.sudoc.fr/139685111', 'http://www.sudoc.fr/256403600', 'http://www.sudoc.fr/103088962', 'http://www.sudoc.fr/065748247'];['http://catalogue.bnf.fr/ark:/12148/cb32220219c', 'http://catalogue.bnf.fr/ark:/12148/cb416534146']
book;1920;Ibsen, Henrik;"canard sauvage ; Rosmersholm";;;326 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-20;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1920;"Ibsen, Henrik; Coussange, Jacques de";Ibsen;Ibsen;188 s. port.;;2;Les cent chefs-d'oeuvre etrangers;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2015-01-18;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1920;"Ibsen, Henrik; Coussange, Jacques de";Ibsen;Ibsen;186 s. port.;;1;Les cent chefs-d'oeuvre etrangers;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-12;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1920;Hawkins, Inga;"""Blakken"" : (the Norwegian pony)";;;19, 19 s.;;;London;;"Engelsk og fransk parallell tekst; Også med fransk løpetittel: Le poney (Blakken)";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1921;Aall, N.H.;Diagrammes d'equilibre de transformation des aciers spéciaux;;;27 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1921;Bojer, Johan;caméléon  : roman;;;189 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-05-18;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1921;"Ibsen, Henrik; Prozor, M.";Hedda Gabler : drame en quatre actes;;;261 s.;;;Paris;;;['http://www.sudoc.fr/131969196'];Pas de notice trouvée dans le catalogue de la BnF
book;1921;"Ibsen, Henrik; Prozor, M.";ennemi du peuple  : drame en cinq actes;;;LIX, 161 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
